Coal Flow Rate (t/h),Total Air Flow Rate (t/h),Main Steam Pressure (MPa),Main Steam Temperature (C),Main Steam Flow Rate (t/h),Feed Water Temperature (C),Hot Reheat Steam Temperature (C,Condenser Vacuum (kPa),Thermal Efficiency (%),Turbine Heat Rate (kJ/kWh),Power (MW)
cfr,tafr,msp,mst,msfr,fwt,htst,cv,te,thr,power
193.37,1981.69,18,561.19,1516.53,280.51,560.99,-92.3,38.64,8107.2,498.2
207.45,2139.37,20.42,560.88,1664.5,286.09,563.06,-92.2,39.55,7969.07,547.85
205.94,2169.48,21.03,563.46,1680.56,288.45,564.71,-92.11,40.44,7796.87,562.46
202.58,2132.11,21.66,563.23,1681.78,288.51,563.23,-93.5,40.35,7800.05,561.76
201.47,2115.79,21.46,564.25,1676.62,288.47,562.69,-91.94,40.42,7781.36,561.45
201.03,2107.93,21.32,565.44,1680.78,288.52,565.55,-91.97,40.24,7816.09,562.12
200.05,2099.86,21.35,565.27,1671.05,288.51,566.76,-91.99,40.31,7780.02,561.65
198.61,2084.47,21.39,565.51,1665.67,288.5,566.51,-92.01,40.54,7752.62,561.79
200,2095.19,21.22,565.84,1670.64,288.48,566.49,-92.03,40.38,7782.64,561.41
199.76,2098.73,21.18,565.86,1670.88,288.61,569.14,-92.05,40.27,7790.72,562.32
199.64,2097.21,21.21,567.62,1664.9,288.32,568.14,-92.1,40.41,7770.9,561.67
181.38,1994.37,20.92,566.62,1567.18,287.2,566.21,-92.12,41.25,7602.92,540.6
166.47,1797.29,18.7,563.81,1412.31,281.46,559.76,-91.22,40.82,7627.57,490.98
154.94,1711,16.98,559.8,1310.59,276.64,558.01,-92.21,40.22,7693.85,455.82
146.36,1650.35,16.2,560.54,1232.13,273.41,556.52,-92.29,39.56,7811.82,426.08
186.92,1925.1,16.48,560.78,1421.2,276.11,563.08,-92.94,38.04,8174.74,467.64
239.86,2455.3,22.33,562.11,1918.91,293.83,562.36,-92.43,40.2,7851.79,627.52
232.84,2478.55,23.97,562.63,2001.93,298.09,566.58,-91.99,40.02,7829.99,649.84
231.92,2448.92,24.09,560.51,1998.79,297.71,564.87,-91.97,39.91,7850.84,645.98
234.24,2460.53,24.03,558.51,2007.58,297.7,563,-91.96,39.87,7863.86,646.11
236.01,2475.69,23.81,558.34,2008.82,297.65,565.3,-91.94,39.83,7878.38,646.52
236.23,2480.45,23.8,559.79,2009.29,297.83,564.78,-91.93,39.69,7880.71,646.63
236.29,2470.03,24.14,561.56,2023.52,297.83,560.15,-91.91,39.47,7922.83,646.05
236.16,2470.03,24.14,560.62,2020.19,297.82,563.98,-91.9,39.5,7919.13,646.53
235.8,2461.37,24.11,559.37,2010.58,297.84,566.94,-91.88,39.65,7896.96,646.1
228,2410.71,24.07,563.14,1955.66,297.09,562.88,-91.81,39.67,7866.21,631.4
145.28,1585.12,14.13,553.84,1127.75,266.2,559.91,-92.59,38.5,8086.67,383.11
144.67,1574.43,14.14,553.31,1121.57,265.98,559.66,-92.6,38.64,8063.41,381.81
144.29,1577.82,14.06,553.89,1122.38,265.95,558.45,-92.61,38.63,8064.42,381.98
143.22,1572.16,14.02,554.07,1120.23,265.99,559.26,-92.62,38.68,8057.47,381.84
141.25,1563.27,14.03,553.66,1117.86,266.04,560.17,-92.63,38.77,8043.33,381.93
140.47,1555.39,14.04,553.46,1115.07,265.92,558.73,-92.63,38.86,8032.78,380.98
141.53,1564.67,13.89,554.21,1118.02,265.77,557.73,-92.64,38.78,8050.62,381.44
142.54,1570.24,13.8,553.91,1116.39,265.88,558.75,-92.65,38.83,8033.52,381.63
140.96,1562.69,13.96,554.04,1121.52,265.77,559.52,-92.67,38.61,8085.63,381.52
142.19,1573.26,13.74,553.95,1120.69,266.22,558.98,-92.7,38.68,8053.21,382.21
142.41,1572.77,13.89,554.08,1120.34,265.95,560.16,-92.72,38.76,8064.85,382.11
142.04,1569.18,13.86,553.75,1120.59,265.98,560.43,-92.73,38.64,8068.06,381.87
141.27,1564.86,14.01,553.96,1119.74,266.07,559.03,-92.75,38.72,8053.2,381.86
140.77,1566.97,13.97,553.87,1117.63,266.06,558.54,-92.76,38.79,8040.35,381.76
140.17,1564.12,13.91,554.16,1114.87,265.92,558.95,-92.78,38.88,8029.45,381.39
141.37,1571.32,13.81,555.41,1113.34,265.85,559.04,-92.79,38.87,8029.63,381.23
141.2,1569.99,13.93,557.98,1123.3,265.69,556.23,-92.83,38.49,8090.96,381.37
141.51,1575.19,13.99,557.12,1122.71,265.68,556.57,-92.85,38.58,8075.42,381.93
142.39,1577.09,13.78,556.84,1120.3,265.65,557.34,-92.86,38.56,8082.42,381.19
142.71,1575.21,13.78,557.02,1125.58,265.57,558.54,-92.88,38.45,8100.89,382.17
142.26,1571.17,13.98,556.29,1121.61,265.52,556.56,-92.89,38.58,8061.41,381.75
143.26,1572.6,13.88,556.67,1123.62,265.67,554.95,-92.9,38.55,8079.89,381.47
144.55,1586.16,14.06,556.8,1124.69,265.56,556.13,-92.91,38.52,8088.36,381.95
143.63,1573.32,13.79,556.76,1114.03,265.38,560.06,-92.93,38.85,8009.29,382.59
143.54,1569.77,13.94,557.34,1112.85,265.7,558.07,-92.94,38.92,8012.18,381.98
150.44,1669.29,14.95,554.62,1183.69,269.48,558.36,-93.15,39.23,7903.21,407.18
151.71,1667.54,14.85,556.6,1201.1,269.55,553.52,-93.12,38.78,7991.46,407.83
152.12,1664.44,14.91,557.82,1205.2,269.68,554.18,-93.08,38.69,8015.1,408.33
151.56,1659.96,15.02,558.02,1201.97,269.72,555.96,-93.05,38.69,8002.73,408.3
150.85,1651.41,15.16,557.63,1196.68,269.74,556.53,-93.01,38.81,7979.73,407.73
151.18,1649.86,15.11,558.54,1199.32,269.8,556.55,-92.97,38.74,7987.32,408.3
150.76,1649.57,15.06,558.63,1199.36,269.68,556.47,-92.94,38.74,7978.84,408.68
169.66,1797.5,15.03,558.03,1271.3,270.8,562.28,-93.05,38.8,8048.36,426.4
189.02,1999.3,16.96,559.58,1432.8,277.15,563.63,-92.88,38.75,8107.16,474.68
190.88,2126.73,22.63,557.67,1693.13,289.7,559.58,-91.47,40.73,7691.49,567.17
175.81,1954.41,19.5,557.22,1510.18,284.34,559.79,-92.2,40.79,7624.92,518.41
147.87,1693.26,16.26,554.55,1221.62,273.07,560.17,-92.72,40.36,7640.72,430.77
138.65,1600.04,15.38,556.22,1146.85,270.47,557.23,-92.9,39.47,7780.13,401.21
135.04,1541.49,13.56,552.99,1063.8,263.09,556.27,-93.47,38.31,8016.75,365.7
176.01,1853.14,15.86,562.14,1326.81,273.06,562.83,-92.7,38.18,8093.95,440.66
195.82,2030.86,17.89,564.24,1496.3,279.93,567.36,-92.45,38.73,8153.86,494.66
214.72,2213.96,19.35,564.53,1673.82,286.36,568.02,-92.21,39.36,8111.18,551.23
